POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,URL_ID
0.107,0.037,0.48610773536294893,0.0036101083032490976,46.125,26.558265582655828,29.07330623306233,46.125,294,1107,1.7353206865401987,4,5.468834688346884,bctech2011
0.102,0.015,0.7435833881761694,0.008287292817679558,51.57142857142857,22.71468144044321,29.714444004748714,51.57142857142857,82,361,1.6759002770083102,3,5.542936288088643,bctech2012
0.113,0.015,0.7656190186014172,0.008310249307479225,51.42857142857143,24.166666666666668,30.23809523809524,51.42857142857143,87,360,1.6972222222222222,3,5.569444444444445,bctech2013
0.117,0.014,0.7862535400493126,0.00819672131147541,52.142857142857146,23.28767123287671,30.172211350293544,52.142857142857146,85,365,1.6821917808219178,3,5.50958904109589,bctech2014
0.109,0.015,0.7580584027548165,0.008264462809917356,51.714285714285715,24.03314917127072,30.298973954222575,51.714285714285715,87,362,1.6933701657458564,3,5.569060773480663,bctech2015
0.117,0.015,0.7727214187771305,0.008310249307479225,51.42857142857143,24.166666666666668,30.23809523809524,51.42857142857143,87,360,1.6888888888888889,3,5.538888888888889,bctech2016
0.102,0.015,0.7435833881761694,0.008310249307479225,51.42857142857143,23.333333333333332,29.904761904761905,51.42857142857143,84,360,1.6861111111111111,3,5.536111111111111,bctech2017
0.107,0.015,0.7540921795722986,0.008310249307479225,51.42857142857143,23.61111111111111,30.01587301587302,51.42857142857143,85,360,1.6888888888888889,3,5.569444444444445,bctech2018
0.104,0.014,0.7627054008016881,0.008,53.42857142857143,23.262032085561497,30.676241405653172,53.42857142857143,87,374,1.6711229946524064,3,5.572192513368984,bctech2019
0.109,0.014,0.7723514442972008,0.008108108108108109,52.714285714285715,23.848238482384822,30.625009678668217,52.714285714285715,88,369,1.6910569105691058,3,5.617886178861789,bctech2020
0.113,0.015,0.7656190186014172,0.00821917808219178,52.0,24.175824175824175,30.470329670329672,52.0,88,364,1.6923076923076923,3,5.579670329670329,bctech2021
0.095,0.007,0.8627366398368642,0.003115264797507788,25.31578947368421,19.43866943866944,17.90178356494146,25.31578947368421,187,962,1.607068607068607,3,5.550935550935551,bctech2022
0.132,0.014,0.8082136423723124,0.009708737864077669,34.285714285714285,20.27777777777778,21.825396825396826,34.285714285714285,146,720,1.6125,7,5.393055555555556,bctech2023
0.103,0.032,0.5259220302071835,0.007547169811320755,44.083333333333336,20.604914933837428,25.875299306868307,44.083333333333336,109,529,1.6370510396975426,4,5.387523629489603,bctech2024
0.128,0.012,0.8285655102463554,0.038461538461538464,26.685714285714287,18.30835117773019,17.997626185377793,26.685714285714287,171,934,1.595289079229122,21,5.15203426124197,bctech2025
0.132,0.013,0.8206839952827911,0.022565320665083134,32.34615384615385,20.09512485136742,20.976511479008508,32.34615384615385,169,841,1.5992865636147444,10,5.33769322235434,bctech2026
0.104,0.014,0.7627054008016881,0.01653944020356234,30.192307692307693,20.254777070063696,20.178833904948558,30.192307692307693,159,785,1.607643312101911,6,5.277707006369427,bctech2027
